"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?category/@id ","must exist: ?category/@name ","must exist: ?command/@id ","must exist: ?command/@name ","must exist: ?command/commandParameter/@values ","?command/commandParameter/@values java#implements org.eclipse.core.commands.IParameterValues ","must exist: ?command/commandParameter/values/@class ","?command/commandParameter/values/@class java#implements org.eclipse.core.commands.IParameterValues ","must exist: ?command/defaultHandler/@class ","?command/defaultHandler/@class java#implements org.eclipse.core.commands.IHandler ","must exist: ?command/state/@class ","?command/state/@class java#implements org.eclipse.core.commands.State ","must exist: ?command/state/class/@class ","?command/state/class/@class java#implements org.eclipse.core.commands.State ","must exist: ?commandParameterType/@id ","must exist: ?keyConfiguration/@name ","must exist: ?keyConfiguration/@id ","must exist: ?context/@name ","must exist: ?context/@id ","must exist: ?scope/@name ","must exist: ?scope/@id  ","variable ?category/@id ","variable ?category/@name ","variable ?command/@id ","variable ?command/@name ","variable ?command/commandParameter/@values ","variable ?command/commandParameter/values/@class ","variable ?command/defaultHandler/@class ","variable ?command/state/@class ","variable ?command/state/class/@class ","variable ?commandParameterType/@id ","variable ?keyConfiguration/@name ","variable ?keyConfiguration/@id ","variable ?context/@name ","variable ?context/@id ","variable ?scope/@name ","variable ?scope/@id "
"    org.eclipse.equinox.p2.ui.sdk","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.equinox.p2.ui.sdk.update ","%Update.command ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.dltk.debug.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.dltk.debug.ui.commands.ScriptDisplay ","%ActionDefinition.ScriptDisplay.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.mylyn.tasks.ui.command.previousTask ","Previous Task Command ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.mylyn.tasks.ui.command.openTask ","Open Task ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.tasks.ui.commands ","Task Repositories ","org.eclipse.mylyn.tasks.ui.command.addTaskRepository ","Add Task Repository ","org.eclipse.mylyn.internal.tasks.ui.commands.TaskRepositoryParameterValues ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.tasks.ui.commands ","Task ","org.eclipse.mylyn.tasks.ui.command.goToPreviousUnread ","Go To Previous Unread Task ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.mylyn.tasks.ui.command.maximizePart ","Maximize Part ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.tigris.subversion.subclipse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.tigris.subversion.subclipse.commandCategory ","%SVNActionSet.categoryName ","org.tigris.subversion.subclipse.ui.checkout ","%CheckoutCommand.label ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.ui.cheatsheets","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.category.dialogs ","%category.dialogs.name ","org.eclipse.ui.cheatsheets.openCheatSheet ","%command.openCheatSheet.name ","org.eclipse.ui.internal.cheatsheets.registry.CheatSheetParameterValues ","? ","? ","? ","? ","org.eclipse.ui.dialogs.Integer ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.jpt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.jpt.ui.jpaStructureViewCommands ","%jpaStructureViewCommandCategory ","org.eclipse.jpt.ui.entityMappingsAddPersistentClass ","%addPersistentClass ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
