"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?@type ","must exist: ?@namespace ","must exist: ?@properties ","?@class java#implements org.eclipse.core.expressions.PropertyTester  ","variable ?@id ","variable ?@type ","variable ?@namespace ","variable ?@properties ","variable ?@class ",,,,,,,,,,,,,
"    org.eclipse.jst.j2ee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jst.j2ee.common.internal.FacetedProjectPropertyTester ","org.eclipse.jdt.core.ICompilationUnit ","org.eclipse.jst.j2ee.common ","projectFacet ","org.eclipse.jst.j2ee.internal.common.FacetedProjectPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.jst.j2ee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jst.j2ee.internal.provider.FacetedProjectPropertyTester ","org.eclipse.jst.j2ee.internal.provider.J2EEItemProvider ","org.eclipse.jst.j2ee.provider ","projectFacet ","org.eclipse.jst.j2ee.internal.provider.FacetedProjectPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.core.resources","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.core.resources.resourcePropertyTester ","org.eclipse.core.resources.IResource ","org.eclipse.core.resources ","name","path","extension","readOnly","projectNature","persistentProperty","projectPersistentProperty","sessionProperty","projectSessionProperty ","org.eclipse.core.internal.propertytester.ResourcePropertyTester            ",,,,,
"    org.eclipse.core.resources","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.core.resources.filePropertyTester ","org.eclipse.core.resources.IFile ","org.eclipse.core.resources ","contentTypeId ","org.eclipse.core.internal.propertytester.FilePropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.core.resources","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.core.resources.projectPropertyTester ","org.eclipse.core.resources.IProject ","org.eclipse.core.resources ","open ","org.eclipse.core.internal.propertytester.ProjectPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.core.resources","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.core.resources.mappingPropertyTester ","org.eclipse.core.resources.mapping.ResourceMapping ","org.eclipse.core.resources ","projectPersistentProperty ","org.eclipse.core.internal.propertytester.ResourceMappingPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.jdt.core.manipulation","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.core.javaElementPropertyTester ","org.eclipse.jdt.core.IJavaElement ","org.eclipse.jdt.core ","name","isInJavaProject","isInJavaProjectWithNature","isOnClasspath","hasTypeOnClasspath","inSourceFolder","inArchive","inExternalArchive","projectOption ","org.eclipse.jdt.internal.core.manipulation.JavaElementPropertyTester            ",,,,,
"    org.eclipse.datatools.connectivity.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.datatools.connectivity.ui ","org.eclipse.datatools.connectivity.IConnectionProfile ","org.eclipse.datatools.connectivity.profile.property ","factoryID","isConnected","maintainConnection","supportsPing","hasExtendedProperties","id","extensionID","categoryID","containingViewID","connectionState","dbVendor","dbVersion","repositoryIsReadOnly","canWorkOffline ","org.eclipse.datatools.connectivity.internal.ui.ConnectionProfileActionFilter            "
"    org.eclipse.datatools.connectivity.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.datatools.connectivity.ui.category ","org.eclipse.datatools.connectivity.ICategory ","org.eclipse.datatools.connectivity.category.property ","categoryID","repositoryIsReadOnly ","org.eclipse.datatools.connectivity.internal.ui.CategoryActionFilter            ",,,,,,,,,,,,
"    org.eclipse.datatools.connectivity.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.datatools.connectivity.ui.workbench.window.perspective ","org.eclipse.ui.IWorkbenchWindow ","org.eclipse.datatools.connectivity.workbench.window.perspective.property ","perspectiveID ","org.eclipse.datatools.connectivity.internal.ui.WorkbenchWindowPerspectiveActionFilter            ",,,,,,,,,,,,,
