"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?../category/@name ","must exist: ?../primaryWizard/@id ","?@class java#implements org.eclipse.ui.INewWizard  ","variable ?../category/@name ","variable ?../primaryWizard/@id ","variable ?@class "
"    org.eclipse.cdt.ui","anonymous",TRUE,12,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%newCWizardsCategory.name ","? ","org.eclipse.cdt.ui.wizards.CCProjectWizard            "
"    org.eclipse.cdt.ui","anonymous",TRUE,13,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%newCWizardsCategory.name ","? ","org.eclipse.cdt.ui.wizards.CProjectWizard            "
"    org.eclipse.jst.ws.consumption.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.wst.command.internal.env.ui.widgets.DynamicWizard            "
"    org.eclipse.wst.web.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%web.category_ui_ ","? ","org.eclipse.wst.web.ui.internal.wizards.SimpleWebProjectWizard            "
"    org.eclipse.ecf.provider.xmpp.ui","anonymous",TRUE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.ecf.internal.provider.xmpp.ui.wizards.XMPPConnectWizard            "
"    org.eclipse.ecf.provider.xmpp.ui","anonymous",TRUE,2,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.ecf.internal.provider.xmpp.ui.wizards.XMPPSConnectWizard            "
"    org.eclipse.jst.j2ee.ui","org.eclipse.jst.j2ee.ui.J2EEUIProjectWizards",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%j2ee.category_ui_ ","? ","?            "
"    org.eclipse.jst.j2ee.ui","org.eclipse.jst.j2ee.ui.J2EEUIProjectWizards",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%j2ee.category_ui_ ","? ","?            "
"    org.eclipse.jst.j2ee.ui","org.eclipse.jst.j2ee.ui.J2EEUIProjectWizards",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%j2ee.category_ui_ ","? ","?            "
"    org.eclipse.wst.jsdt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%newWizardCategoryName ","? ","org.eclipse.wst.jsdt.internal.ui.wizards.JavaProjectWizard            "
"    org.eclipse.wst.jsdt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%newWizardCategoryName ","? ","org.eclipse.wst.jsdt.internal.ui.wizards.NewJSWizard            "
