"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?../@id ","must exist: ?../@targetID ","must exist: ?../menu/@id ","must exist: ?../menu/@label ","must exist: ?@id ","must exist: ?@label ","?@class java#implements org.eclipse.ui.IEditorActionDelegate  ","variable ?../@id ","variable ?../@targetID ","variable ?../menu/@id ","variable ?../menu/@label ","variable ?@id ","variable ?@label ","variable ?@class "
"    org.eclipse.wst.javascript.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.javascript.core.javascriptsource.ruler.actions ","org.eclipse.wst.javascript.core.javascriptsource.source ","? ","? ","org.eclipse.ui.texteditor.SelectRulerAction ","%SelectRuler.label ","org.eclipse.ui.texteditor.SelectRulerAction            "
"    org.eclipse.jdt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions ","org.eclipse.jdt.ui.CompilationUnitEditor ","? ","? ","org.eclipse.jdt.internal.ui.javaeditor.BookmarkRulerAction ","%BookmarkRulerAction.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
"    org.eclipse.jdt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions ","org.eclipse.jdt.ui.CompilationUnitEditor ","? ","? ","org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction ","%JavaSelectRulerAction.label ","org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction            "
"    org.eclipse.jdt.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.internal.ui.ClassFileEditor.ruler.actions ","org.eclipse.jdt.ui.ClassFileEditor ","? ","? ","org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction ","%JavaSelectRulerAction.label ","org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction            "
"    org.eclipse.jdt.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.internal.ui.PropertiesFileEditor.ruler.actions ","org.eclipse.jdt.ui.PropertiesFileEditor ","? ","? ","org.eclipse.jdt.internal.ui.propertiesfileeditor.BookmarkRulerAction ","%BookmarkRulerAction.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
"    org.eclipse.jdt.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.internal.ui.PropertiesFileEditor.ruler.actions ","org.eclipse.jdt.ui.PropertiesFileEditor ","? ","? ","org.eclipse.jdt.internal.ui.propertiesfileeditor.SelectRulerAction ","%JavaSelectRulerAction.label ","org.eclipse.ui.texteditor.SelectRulerAction            "
"    org.eclipse.wst.html.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.html.core.htmlsource.ruler.actions ","org.eclipse.wst.html.core.htmlsource.source ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","%AddBookmark.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
"    org.eclipse.wst.html.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.html.core.htmlsource.ruler.actions ","org.eclipse.wst.html.core.htmlsource.source ","? ","? ","org.eclipse.ui.texteditor.SelectRulerAction ","%SelectRuler.label ","org.eclipse.ui.texteditor.SelectRulerAction            "
"    org.eclipse.jst.jsp.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jst.jsp.core.jspsource.ruler.actions ","org.eclipse.jst.jsp.core.jspsource.source ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","%AddBookmark.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
"    org.eclipse.jst.jsp.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jst.jsp.core.jspsource.ruler.actions ","org.eclipse.jst.jsp.core.jspsource.source ","? ","? ","org.eclipse.ui.texteditor.SelectRulerAction ","%SelectRuler.label ","org.eclipse.ui.texteditor.SelectRulerAction            "
"    org.eclipse.ui.editors","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.texteditor.ruler.actions ","org.eclipse.ui.DefaultTextEditor ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","%BookmarkRulerAction.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
"    org.eclipse.ui.editors","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.texteditor.ruler.actions ","org.eclipse.ui.DefaultTextEditor ","? ","? ","org.eclipse.ui.texteditor.SelectRulerAction ","%SelectRulerAction.label ","org.eclipse.ui.texteditor.SelectRulerAction            "
"    org.eclipse.emf.exporter","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.emf.exporter.genModelEditorContribution ","org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID ","? ","? ","org.eclipse.emf.exporter.ui.GenModelExportActionDelegate.Editor ","%_UI_Model_Export_label ","org.eclipse.emf.exporter.ui.GenModelExportActionDelegate            "
"    org.eclipse.cdt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.texteditor.ruler.actions ","org.eclipse.cdt.ui.editor.CEditor ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","%Dummy.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
"    org.eclipse.cdt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.texteditor.ruler.actions ","org.eclipse.cdt.ui.editor.CEditor ","? ","? ","org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction ","%Dummy.label ","org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction            "
"    org.eclipse.datatools.sqltools.debugger.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.datatools.sqltools.rullerDoubleClick ","org.eclipse.datatools.sqltools.routineeditor.internal.RoutineEditor ","? ","? ","org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction ","Add Breakpoint ","org.eclipse.datatools.sqltools.debugger.actions.ManageBreakpointRulerActionDelegate            "
"    org.eclipse.wst.jsdt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.internal.ui.CompilationUnitEditor.ruler.actions ","org.eclipse.wst.jsdt.ui.CompilationUnitEditor ","? ","? ","org.eclipse.wst.jsdt.internal.ui.javaeditor.BookmarkRulerAction ","%BookmarkRulerAction.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
"    org.eclipse.wst.jsdt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.internal.ui.CompilationUnitEditor.ruler.actions ","org.eclipse.wst.jsdt.ui.CompilationUnitEditor ","? ","? ","org.eclipse.wst.jsdt.internal.ui.javaeditor.JavaSelectRulerAction ","%JavaSelectRulerAction.label ","org.eclipse.wst.jsdt.internal.ui.javaeditor.JavaSelectRulerAction            "
"    org.eclipse.wst.jsdt.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.internal.ui.ClassFileEditor.ruler.actions ","org.eclipse.wst.jsdt.ui.ClassFileEditor ","? ","? ","org.eclipse.wst.jsdt.internal.ui.javaeditor.JavaSelectRulerAction ","%JavaSelectRulerAction.label ","org.eclipse.wst.jsdt.internal.ui.javaeditor.JavaSelectRulerAction            "
"    org.eclipse.wst.jsdt.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.internal.ui.PropertiesFileEditor.ruler.actions ","org.eclipse.wst.jsdt.ui.PropertiesFileEditor ","? ","? ","org.eclipse.wst.jsdt.internal.ui.propertiesfileeditor.BookmarkRulerAction ","%BookmarkRulerAction.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
"    org.eclipse.wst.jsdt.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.internal.ui.PropertiesFileEditor.ruler.actions ","org.eclipse.wst.jsdt.ui.PropertiesFileEditor ","? ","? ","org.eclipse.wst.jsdt.internal.ui.propertiesfileeditor.SelectRulerAction ","%JavaSelectRulerAction.label ","org.eclipse.ui.texteditor.SelectRulerAction            "
