"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?@name ","must exist: ?count/@value ","?count/@value.null net.java.treaty.Operator$REGEX@16244b4(\d)*|\*|\?|\+|\! ","?@class java#implements org.eclipse.ui.IWorkbenchPropertyPage  ","variable ?@id ","variable ?@name ","variable ?count/@value ","variable ?@class "
"    org.eclipse.equinox.p2.ui.sdk","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.equinox.internal.p2.ui.sdk.RepositoryPropertyPage ","%Repository.name ","? ","org.eclipse.equinox.internal.provisional.p2.ui.dialogs.RepositoryPropertyPage            "
"    org.eclipse.rse.files.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.files.PropertyPage ","%RemotePropertyPage.File.Info ","? ","org.eclipse.rse.internal.files.ui.propertypages.SystemFilePropertyPage            "
"    org.eclipse.rse.files.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.files.PermissionsPropertyPage ","%RemotePropertyPage.File.Permissions ","? ","org.eclipse.rse.internal.files.ui.propertypages.SystemFilePermissionsPropertyPage            "
"    org.eclipse.rse.files.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.ui.propertypages.ServerLauncherPropertyPage ","%PropertyPage.ServerLauncherSettings ","? ","org.eclipse.rse.internal.ui.propertypages.ServerLauncherPropertyPage            "
"    org.eclipse.rse.files.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.files.ui.propertypages.FileServicesPropertyPage ","%PropertyPage.Service ","? ","org.eclipse.rse.internal.files.ui.propertypages.FileServicesPropertyPage            "
"    org.eclipse.rse.dstore.security","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.connectionsecurity.PropertyPage ","%PropertyPage.ServerConnectionSecurity ","? ","org.eclipse.rse.internal.ui.propertypages.ServerConnectionSecurityPropertyPage            "
"    org.eclipse.dltk.debug.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.dltk.debug.ui.breakpoints.ScriptLineBreakpointPropertyPage ","%page.name.scriptLineBreakpoint ","? ","org.eclipse.dltk.debug.ui.breakpoints.ScriptLineBreakpointPropertyPage            "
"    org.eclipse.dltk.debug.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.dltk.debug.ui.breakpoints.ScriptWatchpointPropertyPage ","%page.name.scriptWatchpoint ","? ","org.eclipse.dltk.debug.ui.breakpoints.ScriptWatchpointPropertyPage            "
"    org.eclipse.dltk.debug.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.dltk.debug.ui.breakpoints.ScriptMethodBreakpointPropertyPage ","%page.name.scriptMethodBreakpoint ","? ","org.eclipse.dltk.debug.ui.breakpoints.ScriptMethodBreakpointPropertyPage            "
"    org.eclipse.dltk.debug.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.dltk.debug.ui.breakpoints.ScriptExceptionBreakpointPropertyPage ","%page.name.scriptExceptionBreakpoint ","? ","org.eclipse.dltk.debug.ui.breakpoints.ScriptExceptionBreakpointPropertyPage            "
