"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?scope/@class ","must exist: ?initializer/@class ","must exist: ?modifier/@class  ","variable ?scope/@class ","variable ?initializer/@class ","variable ?modifier/@class "
"    org.eclipse.dltk.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.dltk.internal.ui.preferences.PreferenceInitializer ","?            "
"    org.eclipse.core.resources","org.eclipse.core.resources.preferences",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ","org.eclipse.core.internal.resources.ProjectPreferences ","org.eclipse.core.internal.resources.PreferenceInitializer ","?            "
"    org.eclipse.wst.javascript.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.wst.javascript.core.internal.preferences.JavaScriptCorePreferenceInitializer ","?            "
"    org.eclipse.jdt.junit","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.jdt.internal.junit.ui.JunitPreferenceInitializer ","?            "
"    org.eclipse.pde.api.tools","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.pde.api.tools.internal.ApiPluginPreferenceInitializer ","?            "
"    org.eclipse.update.core","org.eclipse.update.core.preferenceInitializer",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.update.internal.core.UpdatePreferencesInitializer ","?            "
"    org.eclipse.datatools.sqltools.plan","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.datatools.sqltools.plan.internal.preference.ExecutionPlanInitializer ","?            "
"    org.eclipse.dltk.validators.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.dltk.validators.internal.core.externalchecker.WildcardsPreferenceInitializer ","?            "
"    org.eclipse.emf.validation.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.emf.validation.ui.internal.preferences.PreferenceInitializer ","?            "
"    org.eclipse.cdt.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.cdt.ui.CUIPreferenceInitializer ","?            "
"    org.eclipse.cdt.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.cdt.ui.text.doctools.doxygen.DoxygenHelper ","?            "
"    org.eclipse.update.scheduler","org.eclipse.update.scheduler.preferences",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.update.internal.scheduler.preferences.PreferenceInitializer ","?            "
"    org.eclipse.wst.internet.cache","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.wst.internet.cache.internal.preferences.PreferenceInitializer ","?            "
"    org.eclipse.datatools.sqltools.debugger.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.datatools.sqltools.debugger.core.internal.DebuggerPreferenceInitializer ","?            "
"    org.eclipse.wst.xml.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.wst.xml.core.internal.preferences.XMLCorePreferenceInitializer ","?            "
"    org.eclipse.jdt.launching","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.jdt.internal.launching.JREPreferenceModifyListener            "
"    org.eclipse.debug.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.debug.internal.ui.DebugUIPreferenceInitializer ","?            "
"    org.eclipse.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.ui.internal.UIPreferenceInitializer ","?            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.wst.jsdt.internal.ui.JavaUIPreferenceInitializer ","?            "
