"plugin","extension point","is aggregated contract","partNo","verification result ","?@class java#implements org.eclipse.ui.IEditorPart ","must exist: ?@style ","?@launcher java#implements org.eclipse.ui.IEditorLauncher ","must exist: ?@contributorClass ","?@contributorClass java#implements org.eclipse.ui.IEditorActionBarContributor ","must exist: ?@class ","must exist: ?@matcingStrategy ","?@matcingStrategy java#implements org.eclipse.ui.IEditorMatchingStrategy ","must exist: ?@class  ","variable ?@class ","variable ?@style ","variable ?@launcher ","variable ?@contributorClass ","variable ?@matcingStrategy "
"    org.eclipse.jst.jsp.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.sse.ui.StructuredTextEditor ","? ","? ","org.eclipse.jst.jsp.ui.internal.editor.ActionContributorJSP ","?            "
"    org.eclipse.jem.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.ui.editors.text.TextEditor ","? ","? ","org.eclipse.ui.editors.text.TextEditorActionContributor ","?            "
"    org.eclipse.wst.sse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.sse.ui.StructuredTextEditor ","? ","? ","org.eclipse.wst.sse.ui.internal.actions.ActionContributor ","?            "
"    org.eclipse.ui.editors","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.ui.editors.text.TextEditor ","? ","? ","org.eclipse.ui.editors.text.TextEditorActionContributor ","?            "
"    org.eclipse.jst.pagedesigner","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jst.pagedesigner.editors.HTMLEditor ","? ","? ","org.eclipse.jst.pagedesigner.editors.actions.PageDesignerActionBarContributor2 ","?            "
"    org.eclipse.debug.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor ","? ","? ","? ","?            "
"    org.eclipse.debug.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.debug.internal.ui.views.launch.SourceNotFoundEditor ","? ","? ","org.eclipse.ui.part.EditorActionBarContributor ","?            "
"    org.eclipse.datatools.sqltools.routineeditor","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.sqltools.routineeditor.RoutineEditor ","? ","? ","org.eclipse.datatools.sqltools.sqleditor.internal.SQLEditorActionContributor ","?            "
"    org.eclipse.wst.jsdt.ui","org.eclipse.wst.jsdt.ui.javaeditor",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.jsdt.internal.ui.javaeditor.CompilationUnitEditor ","? ","? ","org.eclipse.wst.jsdt.internal.ui.javaeditor.CompilationUnitEditorActionContributor ","?            "
"    org.eclipse.wst.jsdt.ui","org.eclipse.wst.jsdt.ui.javaeditor",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.jsdt.internal.ui.javaeditor.ClassFileEditor ","? ","? ","org.eclipse.wst.jsdt.internal.ui.javaeditor.ClassFileEditorActionContributor ","?            "
